Name,Code,CURRENCY,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Q4 2006,Q3 2006,Q2 2006,Q1 2006,Q4 2005
SHENZHEN HEUNGKONG HLDG. 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SLE(WC08287A),CH,5.317,5.109,4.726,4.961,4.704,4.179,4.273,4.449,4.331,4.355,4.187,4.06,4.28,3.916,2.353,2.429,2.363,2.427,3.205,3.038,3.25,3.663,3.84,7.72,7.314,7.356,7.47,7.201,7.985,8.024,8.108,8.349,8.5,8.848,8.486,9.273,8.1,6.531,5.867,5.612,5.575,5.267,5.317,5.545,4.584,4.669,4.539,5.162,5.071,5.336,4.918,5.376,5.182,4.036,3.934,2.745,1.744,1.681,1.541,4.071,4.048,3.731,3.331
GUANGDONG HIGHSUN GP.'A',CN:MYY(P),CH,2.12,2.17,2.9,2.65,3.18,2.34,2.47,2.87,2.94,3.15,2.51,2.57,2.51,2.91,3.01,3.71,3.67,4.52,4.85,5.17,4.94,5.69,7.73,5.41,11.31,8.74,4.23,3.99,2.52,2.51,2.83,2.71,2.42,3.27,3.71,3.77,4.18,4.7,3.64,3.54,4.68,4.88,4.37,4.78,3.08,3.63,3.41,2.26,2.8,2.14,1.37,1.34,2.02,2.59,2.73,2.08,1.53,1.24,0.77,0.83,0.89,0.58,0.52
GUANGDONG HIGHSUN GP.'A' - TOTAL ASSETS,CN:MYY(WC02999A),CH,10939902,10324116,10316361,10708831,10688108,10831054,10988697,10877221,11371453,11411547,11488680,12213585,11904204,11946720,11938603,10992154,10367256,10345920,10162047,9715021,8960728,7899203,7728043,7017319,6522718,6930533,6801692,7281098,7873696,5439118,4903897,4610103,4395218,4172472,3933320,3722788,3543954,3549272,3342804,3330524,3199125,2909711,2469148,2294449,2031277,1795220,1579956,1497353,1324113,1394261,1258576,696788,630352,555428,562037,553163,495306,439082,439225,431277,429139,436537,437292
GUANGDONG HIGHSUN GP.'A' - MRKT VALUE TO BOOK,CN:MYY(MTBV),CH,1.3,1.33,1.78,1.62,1.87,1.38,1.56,1.81,1.86,1.94,1.64,1.68,1.64,1.91,1.97,2.43,2.41,2.96,3.56,3.79,3.62,4.17,6.22,4.35,9.1,7.03,3.25,3.07,1.94,1.6,2.86,2.74,2.44,3.31,4.15,4.22,4.68,5.26,5.27,5.14,6.78,7.07,8.9,9.74,6.27,7.39,7.74,5.13,6.37,4.86,3.68,1.46,2.21,2.83,7.64,5.81,4.27,3.46,2.39,2.56,2.76,1.81,1.74
GUANGDONG HIGHSUN GP.'A' - MARKET VALUE,CN:MYY(MV),CH,4930.06,5046.34,6743.95,6162.43,7111.41,5232.92,5523.63,6418.13,6574.68,6868.25,5647.2,5782.19,5647.2,6547.14,6772.13,8347.03,8257.03,10169.39,10911.83,11631.79,11114.32,12801.71,17391.43,12171.74,25447.15,19668.54,9508.63,8987.6,5677.94,4690.56,5295.95,5074.46,4523.21,6122.83,6939.86,7048.14,7825.8,8790.48,6806.97,6629.78,8751.11,9130.09,8170.33,8947.99,5758.61,6787.28,6368.92,4222.98,5241.81,3999.03,2563.48,1017.98,1536.98,1971.42,2079.34,1580.92,1161.49,941.21,588.53,629.7,678.65,445.02,392.73
GUANGDONG HIGHSUN GP.'A' - TOT ASSETS/CMN EQUITY RATIO,CN:MYY(WC08287A),CH,2.982,2.624,2.717,2.634,2.85,2.927,3.105,2.95,3.154,3.311,3.345,3.532,3.39,3.441,3.479,3.462,3.31,3.335,3.313,3.089,2.881,2.795,2.764,2.526,2.183,2.326,2.322,2.621,2.854,2.854,2.648,2.694,2.736,2.412,2.352,2.404,2.471,2.572,2.59,2.891,3.011,2.928,2.689,2.818,2.682,2.464,1.921,1.902,1.776,1.916,1.808,2.386,2.225,2.007,2.065,2.115,1.924,1.747,1.784,1.805,1.841,1.907,1.938
BEJ.URBAN CON.INV.DEV. 'A',CN:BUC(P),CH,4.74,4.95,5.08,5.72,5.07,5.63,6.75,5.85,6.72,7.12,5.5,5.74,6.53,8.13,9.12,10.81,10.1,10.17,9.26,9.49,8.67,8.6,10.17,8.05,15.34,15.72,16.43,7.22,5.19,5.62,5.6,6.06,5.92,6.79,8.62,6.29,8.79,7.56,7.17,6.66,8.71,8.67,7.07,5.96,5.43,8.68,8.63,7.83,8.21,6.35,3.38,3.44,5.58,8.63,13.98,14.1,13.67,6.7,5.53,4.2,2.74,2.62,2.67
BEJ.URBAN CON.INV.DEV. 'A' - TOTAL ASSETS,CN:BUC(WC02999A),CH,131937346,133733654,129078840,130800682,124242342,120469939,120403875,115546817,112924323,111138668,108275333,100499828,99917488,95692993,96695806,95344642,84394103,77123844,75074247,71292699,70155694,68038629,63310995,59257356,58047293,53458020,49824247,41934386,38348452,37364115,35737463,33895356,31651661,30776172,29547555,27294936,24705784,22238922,21530747,19830266,19104587,18004110,17632114,17349075,16353234,16173289,14818643,13827166,11625397,10145043,10422813,10574622,10474130,10831112,10125257,9419799,8752333,7838309,7013984,6162009,6069815,5780179,5600185
BEJ.URBAN CON.INV.DEV. 'A' - MRKT VALUE TO BOOK,CN:BUC(MTBV),CH,0.49,0.51,0.53,0.59,0.53,0.58,0.71,0.61,0.59,0.75,0.64,0.66,0.76,0.94,1.07,1.27,1.19,1.19,1.06,1.09,1,0.99,1.18,0.94,1.78,1.83,2.37,1.04,0.51,0.55,1.01,1.09,1.07,1.22,1.76,1.28,1.8,1.54,1.87,1.74,2.27,2.26,2.09,1.76,1.6,2.56,2.76,2.51,2.63,2.03,1.48,1.51,2.44,3.78,6.39,6.44,6.24,3.06,3.64,2.77,1.81,1.72,1.72
BEJ.URBAN CON.INV.DEV. 'A' - MARKET VALUE,CN:BUC(MV),CH,10695.99,11169.86,11463.21,12907.4,11440.65,12711.83,15231.63,13200.75,12630.35,16062.17,12410.96,12943.75,14730.18,18350.05,20590.91,24398.82,22784.77,22941.48,20888.65,21421.45,19572.34,19415.63,22941.48,18162,34615.93,35477.8,37076.19,16297.22,7970.79,8643.02,8607.45,9318.81,9096.51,10430.31,13240.18,9665.6,13506.95,11612.95,11017.18,10234.69,13382.46,13320.21,10857.13,9158.76,8336.25,13330.58,13256.49,12033.83,12611.81,9758.96,5194.41,5290.74,8573.37,13263.89,21474.18,21659.42,20999.93,10299.9,6882,5226,3414,3258,3324
BEJ.URBAN CON.INV.DEV. 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:BUC(WC08287A),CH,6.093,6.172,5.928,6.058,5.817,5.748,5.603,5.556,5.593,5.377,5.561,5.331,5.389,4.955,5.031,5,4.493,3.966,3.818,3.738,3.724,3.627,3.262,3.44,2.996,2.815,3.18,3.354,4.611,4.295,4.189,4.339,4.119,4.008,3.928,4.461,4.049,3.708,3.652,3.51,3.465,3.358,3.387,3.599,3.625,3.306,3.088,3.608,3.181,2.786,2.972,2.949,2.973,3.161,3.011,2.974,2.796,2.517,3.712,3.293,3.262,2.948,2.904
CHINA WLD.TRD.CENTER 'A',CN:CWT(P),CH,17.96,12.04,12.45,13.1,13.33,13.2,17.5,16.17,14.59,14.63,12.8,15.19,14.47,14.28,17.14,18.85,20.81,20.01,17.27,22.13,20.2,15.18,18.78,13.7,15.23,17.03,15.29,11.43,9.66,9.54,10.61,11.27,9.23,11.37,11.49,10.49,10.4,10.21,9.12,9.07,9.08,10.38,10.08,11.59,9.98,11.78,12.28,9.36,11.6,9.04,7.12,8.55,11.28,15.04,21.01,20.99,18.66,14.28,10.1,7.25,6.5,5.29,4.85
CHINA WLD.TRD.CENTER 'A' - TOTAL ASSETS,CN:CWT(WC02999A),CH,12132135,12304856,12026597,11923653,11983693,11901037,11735943,11595748,11261469,11374095,11029093,11330139,11085948,11260550,11609190,11567422,11396608,11502760,11151416,10721147,10612836,10503650,10166078,10045028,9773029,9847536,9639711,9728198,9236179,9363972,9252649,9383764,9257271,9379709,9344279,9361296,9296756,9523837,9400271,9376761,9336451,9469654,9386482,9378662,9161247,9073166,8952677,8774999,8477600,8432380,8123158,7798601,7665339,7529010,7129925,6694779,6459792,6515847,6019503,5754023,5679991,5745645,5696211
CHINA WLD.TRD.CENTER 'A' - MRKT VALUE TO BOOK,CN:CWT(MTBV),CH,2.26,1.51,1.57,1.65,1.68,1.66,2.33,2.15,1.94,1.95,1.86,2.21,2.11,2.08,2.67,2.94,3.24,3.12,2.84,3.63,3.32,2.49,3.35,2.44,2.72,3.04,2.95,2.2,1.86,1.84,2.2,2.34,1.91,2.36,2.47,2.25,2.23,2.19,2.07,2.06,2.06,2.35,2.34,2.69,2.32,2.73,2.84,2.16,2.68,2.09,1.7,2.04,2.69,3.59,5.27,5.26,4.68,3.58,2.64,1.51,1.35,1.1,1.51
CHINA WLD.TRD.CENTER 'A' - MARKET VALUE,CN:CWT(MV),CH,18090.8,12127.68,12540.66,13195.4,13427.07,13296.13,17627.44,16287.75,14696.25,14736.54,12893.21,15300.62,14575.38,14383.99,17264.82,18987.28,20961.54,20155.71,17395.77,22291.16,20347.1,15290.55,18916.76,13799.77,15340.91,17154.02,15401.35,11513.23,9730.34,9609.47,10687.26,11352.07,9297.21,11452.8,11573.67,10566.39,10475.73,10284.35,9186.41,9136.05,9146.12,10455.59,10153.41,11674.4,10052.68,11865.79,12369.43,9428.16,11684.48,9105.83,7171.85,8612.27,11362.15,15149.53,21163,21142.86,18795.88,14384,10173.55,5800,5200,4232,3880
CHINA WLD.TRD.CENTER 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:CWT(WC08287A),CH,1.494,1.491,1.501,1.529,1.578,1.531,1.55,1.581,1.589,1.587,1.594,1.682,1.693,1.688,1.795,1.833,1.86,1.828,1.818,1.788,1.822,1.803,1.799,1.83,1.834,1.832,1.845,1.901,1.858,1.876,1.904,1.929,1.943,1.953,1.99,2.035,2.063,2.101,2.116,2.145,2.166,2.176,2.163,2.157,2.111,2.054,2.054,2.037,2.003,1.959,1.924,1.88,1.883,1.836,1.775,1.695,1.666,1.661,1.565,2.238,2.258,2.217,2.223
WOLONG RLST.GP.'A',CN:MUC(P),CH,6.29,4.85,4.99,5.11,4.67,4.47,5.21,5.35,4.28,5.11,3.77,4.08,4.3,5.12,5.8,6.66,6.65,11.48,11.48,9.11,8.33,7.54,10,4.9,9.22,9.19,7.03,4.81,4.27,3.29,2.81,3.12,2.82,3.37,4.07,3.51,4.6,3.85,3.79,4.34,5.41,6.4,6.22,6.83,6.54,8.46,7.47,5.11,4.75,3.27,2.27,2.68,3.22,5.18,7.06,10.52,9.12,4.02,1.78,1.63,1.21,1.12,1.07
WOLONG RLST.GP.'A' - TOTAL ASSETS,CN:MUC(WC02999A),CH,7176869,8029340,7851567,8116785,7656649,7611528,7680859,7544187,7528688,6503166,6101766,6290583,6051462,5619752,5746304,5515205,4562580,4193147,4104847,4151552,4034551,4176150,4392382,4445890,4522377,4399713,4442210,4464876,3958683,4077854,3514291,3713339,3472609,3397768,3359383,2807493,3056434,2879118,3166813,3524185,3463185,3819861,3655103,3901190,4010715,3689024,3107684,2056375,2128423,2021156,2051205,1936908,2016747,2036291,2157495,2326104,NA,NA,946044,869396,887065,891138,896411
WOLONG RLST.GP.'A' - MRKT VALUE TO BOOK,CN:MUC(MTBV),CH,1.4,1.08,1.11,1.14,1.04,0.99,1.32,1.36,1.09,1.3,1.18,1.28,1.35,1.61,2.19,2.51,2.51,4.33,4.97,3.94,3.61,3.26,4.45,2.18,4.1,4.09,3.17,2.17,1.93,1.49,1.39,1.55,1.4,1.67,2.06,1.77,2.32,1.95,1.83,2.1,2.61,3.09,3.2,3.52,3.37,4.36,4.31,2.41,2.24,1.55,2.67,3.15,3.79,6.1,9.72,14.48,8.75,3.86,1.71,1.57,1.16,1.08,1.05
WOLONG RLST.GP.'A' - MARKET VALUE,CN:MUC(MV),CH,4409.22,3399.8,3497.94,3582.71,3274.22,3134,3652.83,3750.98,3000.78,3582.71,2743.39,2969,3129.1,3725.81,4205.85,4829.48,4822.23,8324.69,8324.69,6606.09,6040.47,5467.61,7251.47,3553.22,6685.86,6664.1,5097.78,3487.96,3096.38,2385.73,2037.66,2262.46,2044.92,2443.75,2951.35,2545.27,3335.68,2791.82,2748.31,3147.14,3923.05,4640.94,4510.41,4952.75,4742.46,6134.74,5414.43,3032.7,2821.5,1943.7,1349.7,1590.6,1914,3078.9,4194.3,6250.19,3776.6,1665.2,736,676.2,499.1,464.6,441.6
WOLONG RLST.GP.'A' - TOT ASSETS/CMN EQUITY RATIO,CN:MUC(WC08287A),CH,2.111,2.447,2.487,2.833,2.746,2.67,2.781,2.925,3.039,2.633,2.632,2.989,2.976,2.751,2.99,2.967,2.641,2.459,2.451,2.509,2.455,2.533,2.694,2.739,2.797,2.705,2.766,2.948,2.63,2.737,2.4,2.527,2.385,2.329,2.341,1.98,2.174,2.05,2.111,2.389,2.378,2.629,2.595,2.911,3.07,2.965,2.472,4.561,4.336,3.814,4.065,3.848,4.209,4.247,5,5.931,NA,NA,2.202,2.502,2.387,2.304,2.137
TIANJIN JINBIN DEV. 'A',CN:TJD(P),CH,2.1,2.28,2.49,2.53,2.2,2.28,2.1,2.24,2.42,2.52,2.33,2.54,2.26,3.19,3.38,4.22,4.7,4.59,4.28,4.35,3.87,4.64,5.7,4.71,9.54,8.83,7.55,6.03,5.01,5.58,5.45,2.53,2.15,2.64,2.88,2.66,2.86,2.53,2.36,3.36,4.56,5.51,5.21,4.88,4.02,6.13,5.89,4.69,5.53,4.87,3.07,3.94,4.8,8.08,10.76,11.16,10.69,6.26,4.01,4.28,3.86,2.01,1.51
TIANJIN JINBIN DEV. 'A' - TOTAL ASSETS,CN:TJD(WC02999A),CH,7079813,6876982,6575905,6512327,6546011,6755572,6782505,7061881,6608366,6792508,6858500,6651636,6407846,6066987,6025488,6051399,6630835,6275387,6650968,6497400,6425950,6469611,NA,6317174,6453774,6091873,6863405,7580200,7558623,7425359,8095650,9590702,10189401,9982198,10496048,9322685,8728462,9048429,8719385,8261872,8148182,7646879,7596593,8382483,8404479,8406321,8333529,7830464,7811655,7224143,7109808,6849808,7383297,6901516,6693948,6916607,6631191,5276065,5284333,4907779,3688385,3877105,3769099
TIANJIN JINBIN DEV. 'A' - MRKT VALUE TO BOOK,CN:TJD(MTBV),CH,2.39,2.59,2.83,2.87,2.5,2.59,2.78,2.96,3.2,3.33,3.59,3.91,3.48,4.91,4.63,5.79,6.44,6.29,5.33,5.42,4.82,5.78,7.36,6.08,12.32,11.41,8.53,6.82,5.66,6.31,6.78,3.15,2.67,3.28,2.53,2.34,2.52,2.23,2.16,3.07,4.17,5.04,3.88,3.64,3,4.57,4.42,3.52,4.15,3.66,2.25,2.89,3.52,5.92,8.04,8.33,7.98,4.68,3.12,3.32,2.13,1.11,1.84
TIANJIN JINBIN DEV. 'A' - MARKET VALUE,CN:TJD(MV),CH,3396.27,3687.38,4027.01,4091.7,3558,3687.38,3396.27,3622.69,3913.8,4075.53,3768.25,4107.87,3655.03,5159.1,5466.38,6824.89,7601.18,7423.28,6921.93,7035.13,6258.84,7504.14,9218.45,7617.35,15428.78,14280.52,12210.41,9752.15,8102.54,9024.38,8814.13,4091.7,3477.14,4269.6,4657.74,4301.94,4625.39,4091.7,3816.76,5434.04,7374.76,8911.17,8425.99,7892.29,6501.43,9913.88,9525.73,7585,8943.5,7876.11,4965.02,6372.04,7762.89,13065.24,17397.21,18044.13,17281.7,10131.05,6492.19,6919.61,4439.84,2318.59,1743.05
TIANJIN JINBIN DEV. 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:TJD(WC08287A),CH,4.866,4.758,4.62,4.638,4.718,5.264,5.55,6.946,6.421,6.572,6.531,5.821,5.542,5.189,5.108,4.839,5.261,4.866,5.12,4.982,5.034,5.188,NA,4.604,4.759,4.369,4.797,5.7,5.739,5.498,6.227,5.771,5.933,5.593,5.711,5.378,5.068,5.326,4.927,4.246,3.947,3.553,3.501,3.932,3.982,3.999,3.871,3.64,3.549,3.263,3.22,3.118,3.381,3.158,3.092,3.19,3.082,2.55,2.538,2.391,3.932,4.066,3.972
GREE REAL ESTATE 'A',CN:XSM(P),CH,7.37,5.69,6.46,11,11.61,4.15,4.84,5.37,4.87,5.39,4.05,4.41,5.43,5.43,5.68,6.16,6.79,5.67,5.81,6.46,6.21,6.14,7.59,5.48,11.52,9.75,7.86,3.77,2.99,3.32,2.99,2.72,2.09,2.36,2.49,1.79,2.15,2.03,1.86,2.15,3.1,2.99,2.61,2.97,2.79,4.55,4.6,3.11,2.77,2.42,1.21,1.61,2.29,3.28,4.59,2.55,1.79,1.45,0.86,0.88,0.85,0.72,0.93
GREE REAL ESTATE 'A' - TOTAL ASSETS,CN:XSM(WC02999A),CH,34052751,37919379,36956600,36450026,34373827,33547656,32317259,31751408,30919906,30680323,29379839,27430125,29085257,27428899,27069588,26960922,27009828,26150600,26091588,26696266,24392134,20697013,20386099,20730089,19704145,19553161,18333416,16096935,15550808,15669874,15513799,14995272,14569500,13827240,12597121,12161867,12065296,11932989,11321990,11239149,10549095,10154223,9556775,8225335,8289317,6945778,NA,4476923,777149,808130,831198,1094989,1124990,1153891,1193792,1320149,1322815,1355466,1340386,1379674,1395857,1292441,1816240
GREE REAL ESTATE 'A' - MRKT VALUE TO BOOK,CN:XSM(MTBV),CH,1.8,1.39,1.58,2.69,2.84,1.02,1.27,1.41,1.28,1.41,1.02,1.11,1.36,1.36,1.5,1.62,1.79,1.5,1.64,1.82,1.38,1.36,3.14,2.27,4.77,4.04,3.87,1.85,1.47,1.63,1.63,1.48,1.14,1.29,1.58,1.14,1.37,1.29,1.49,1.73,2.5,2.4,2.37,2.7,2.52,4.12,4.49,3.03,1.58,1.38,5.31,7.02,9.99,14.34,8.76,4.86,3.42,2.77,1.47,1.5,1.46,1.23,1.39
GREE REAL ESTATE 'A' - MARKET VALUE,CN:XSM(MV),CH,15190.24,11727.61,13314.64,22672,23929.26,8553.52,9975.68,11063.41,10033.08,11104.06,8343.49,9085.13,11186.4,11186.24,11701.25,12689.97,13987.81,11680.26,11968.6,13307.59,10044.79,9936.11,12269.94,8867.23,18628.04,15762.55,12707.07,6093.62,4840.23,5371.62,4834.46,4401.27,3384.7,3812.12,4020.05,2893.75,3471.34,3280.73,3003.49,3482.89,5019.29,4828.68,4227.99,4811.36,4505.23,7352.77,7445.19,5025.07,2623.11,2288.89,1147.82,1519.17,2160.6,3102.49,4338.08,2407.05,1693.17,1371.15,815.42,831,807.63,680.38,740.52
GREE REAL ESTATE 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:XSM(WC08287A),CH,3.83,4.383,4.388,4.324,4.161,4.25,4.115,4.007,3.883,3.85,3.585,3.624,3.885,3.425,3.465,3.544,3.616,3.486,3.573,3.779,6.079,5.104,5.221,5.983,5.687,5.865,5.579,5.523,5.361,5.382,5.233,5.565,5.595,5.102,4.954,5.244,5.293,5.531,5.635,5.642,5.1,5.191,5.356,4.947,5.241,4.038,NA,2.949,49.84,4.209,3.842,2.575,2.486,2.4,2.412,2.54,2.494,2.441,2.418,2.491,2.528,2.35,3.417
XINHU ZHONGBAO 'A',CN:SDI(P),CH,3.04,3.06,3.1,3.37,2.98,3.02,3.78,2.89,3.14,3.94,2.9,3.11,3.82,4.65,5.22,4.29,4.5,4.89,4.16,4.41,4.23,4.03,4.77,5.05,7.72,8.63,7.32,4.19,2.92,2.96,3.2,3.42,3.09,3.24,4.31,3.46,4.13,3.75,3.42,3.77,5.19,4.73,5,4.08,3.97,5.41,5.52,5.9,6.19,4.34,2.24,2.41,2.97,5.02,5.55,6.18,4.24,3.43,2.36,1.99,1.01,0.71,0.68
XINHU ZHONGBAO 'A' - TOTAL ASSETS,CN:SDI(WC02999A),CH,129000325,131788876,134189150,151442962,151206488,143841818,142870180,140497497,145526964,143674908,139111380,137016067,135161330,130664753,123965495,126431260,124480984,121962947,111140684,95655122,96174332,94436531,88840588,87536168,76698076,74838369,70632567,65277744,61201915,59719950,58352607,52849696,48861263,47174804,46205488,43129757,40099755,37498749,35216012,33970115,33223934,31487623,28324650,27256786,24996004,24254692,21833947,20947199,17165838,15239044,13803373,13614774,11788291,11155660,10301182,10512288,8183266,7600705,7332752,2471627,2561134,2611067,2647841
XINHU ZHONGBAO 'A' - MRKT VALUE TO BOOK,CN:SDI(MTBV),CH,0.69,0.7,0.7,0.77,0.68,0.69,0.94,0.72,0.78,0.98,0.74,0.8,0.98,1.19,1.39,1.15,1.2,1.31,1.23,1.31,1.25,1.26,1.8,1.7,2.6,2.91,3.06,1.36,0.95,0.96,1.55,1.66,1.5,1.57,2.15,1.72,2.04,1.85,2.17,2.39,3.27,2.98,3.63,2.93,2.86,3.88,5.33,5.7,4.99,3.49,2.54,2.73,3.36,5.68,7.51,8.37,5.42,4.39,5.71,0.99,0.51,0.36,1.09
XINHU ZHONGBAO 'A' - MARKET VALUE,CN:SDI(MV),CH,26142,26313.99,26657.96,28979.78,25626.04,25970.01,32505.51,24852.1,27001.93,33881.4,24938.09,26743.95,32849.48,39986.93,44888.55,36891.18,38697.04,42050.79,35773.26,37923.09,36375.21,36671.66,43405.39,41097.55,62826.33,70232,58800.17,26224.61,18275.85,18526.21,20028.34,21405.28,19339.86,20278.69,26975.67,21655.64,25650.24,23290.18,21240.63,23414.38,31981.58,29158.16,30800.88,24875.35,24215.39,32930.23,33607.11,35942.34,31463.62,22038.64,11400.27,12246.82,15068.67,25509.52,28165.58,31410.71,20334.52,16458.82,11300.31,1967.34,1004,703.74,674.76
XINHU ZHONGBAO 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SDI(WC08287A),CH,3.264,3.442,3.546,4.075,4.109,4.153,4.149,3.974,4.189,4.178,4.138,4.156,4.107,3.944,3.849,4.076,4.226,4.146,3.825,4.164,4.522,4.087,3.683,4.212,3.69,3.751,3.675,5.015,4.671,4.61,4.523,4.26,3.839,3.73,3.675,4.101,3.87,3.752,3.601,3.779,3.806,3.619,3.34,3.897,3.899,3.855,3.462,3.526,3.607,3.319,3.075,3.221,2.994,2.901,2.746,3.064,4.113,3.81,3.703,4.086,4.113,4.212,4.283
BEJ.CENTERGATE TECHS. (HLDG.) 'A',CN:BZT(P),CH,6.87,6.68,6.89,7.99,10.14,8.52,9.81,8.99,8.87,9.24,6.92,6.06,5.45,6.46,6.86,7.55,8.05,8.94,8.47,8.26,7.98,9.04,12.7,8.26,14.06,11.55,8.33,6.57,5.26,5.46,5.8,6.19,4.62,5.13,5.59,5.83,5.65,6.43,4.94,6.08,7.42,8.69,6.65,8.35,7.34,6.58,6.57,5.19,6.02,5.64,3.15,4.2,7.5,14.76,14.76,14.76,9.01,7.82,4.81,5.18,4.55,2.46,2.41
BEJ.CENTERGATE TECHS. (HLDG.) 'A' - TOTAL ASSETS,CN:BZT(WC02999A),CH,3361793,3357781,3429960,3467279,3362097,3393748,3553795,3628601,3535123,3467447,3496870,3489576,3563102,3418789,3621712,3306865,3382609,3336516,3118040,3028177,3084134,3023655,2745598,2457279,2424266,2451987,2500381,4298027,4033738,3948526,4330788,4108878,3873389,3810461,4167591,4226425,3995021,4110289,4303086,4165784,4014661,3975743,3977762,4077406,3763216,3770154,3789036,3979922,3991945,3954254,4008401,3974117,4252651,4375073,4702685,7056919,6927802,6866033,4450923,4602979,4678707,4871192,4846460
BEJ.CENTERGATE TECHS. (HLDG.) 'A' - MRKT VALUE TO BOOK,CN:BZT(MTBV),CH,3.04,2.96,3.05,3.54,4.49,3.78,4.42,4.05,4,4.16,3.09,2.7,2.43,2.88,3.24,3.57,3.8,4.23,6.48,6.32,6.11,6.92,10.65,6.93,11.79,9.69,8.95,7.06,5.65,5.87,6.95,7.42,5.54,6.15,4.96,5.17,5.01,5.7,4.55,5.6,6.83,8,6.39,8.02,7.05,6.32,6.42,5.07,5.88,5.51,3.4,4.54,8.1,15.94,16.2,16.2,9.89,8.58,6.35,6.83,6,3.25,3.26
BEJ.CENTERGATE TECHS. (HLDG.) 'A' - MARKET VALUE,CN:BZT(MV),CH,5173.98,5030.88,5189.04,6017.48,7636.71,6416.64,7388.17,6770.61,6680.23,6958.89,5211.64,4563.95,4104.54,4865.2,5166.45,5686.11,6062.67,6732.95,5715.95,5574.23,5385.27,6100.61,8570.55,5574.23,9488.34,7794.48,5621.47,4433.74,3549.69,3684.66,3914.11,4177.3,3117.79,3461.96,3772.39,3934.36,3812.88,4339.26,3333.74,4103.07,5007.36,5864.41,4487.73,5634.97,4953.37,4440.49,4433.74,3502.45,4062.58,3806.13,2125.77,2834.35,5061.35,9960.73,9960.73,9960.73,6080.37,5277.3,3246.01,3495.7,3070.55,1660.12,1626.38
BEJ.CENTERGATE TECHS. (HLDG.) 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:BZT(WC08287A),CH,1.961,1.983,2.018,2.047,1.997,2.052,2.126,2.164,2.157,2.036,2.07,2.063,2.175,2.135,2.273,2.13,2.231,2.152,3.536,3.555,3.646,3.836,3.412,3.105,3.115,3.988,3.98,7.244,6.978,7.335,7.69,5.527,5.281,5.076,5.476,5.355,5.059,5.69,5.874,5.669,5.704,5.713,5.66,5.734,5.45,5.562,5.483,6.185,6.226,6.279,6.416,7.061,7.555,7.692,7.647,14.652,13.757,13.489,8.702,10.331,10.56,10.399,9.712
CHINA CALXON GROUP 'A',CN:HYS(P),CH,4.37,7.18,3.66,4.8,4.7,4.51,5.97,6.44,6.6,7.71,7.62,5.69,4.55,7.05,7,7.08,7.51,7.76,7.51,9.64,6.29,4.58,6.4,3.92,7.69,6.62,4.34,3.47,2.58,2.55,2.78,2.9,2.74,3.22,4.07,3.77,3.84,4.12,3.88,4.65,7.2,8.46,7.82,8.5,7.2,12.06,12.84,12.7,12.78,4.24,4.24,4.24,4.24,3.32,3.32,3.32,3.32,3.32,3.32,2.98,2.1,1.42,1.58
CHINA CALXON GROUP 'A' - TOTAL ASSETS,CN:HYS(WC02999A),CH,13697352,13950923,13487814,17633929,17742369,18036659,19013699,19095813,19280106,19258237,18837025,24811859,24437117,25070198,26058752,33220755,32364134,33539628,35535052,34993440,34106103,35485661,34633032,36511540,36795794,37891173,36674590,35761913,34415507,33170660,32142700,30466025,30044153,27818552,28273183,26634287,26117647,25362694,25257488,23588201,22482956,22608680,20785088,17774859,16895353,15059759,14607786,15183856,1481568,1288439,1311002,1187190,1243684,1258021,1276849,1333623,1545901,1548643,1602528,1372313,1470079,1480076,1561478
CHINA CALXON GROUP 'A' - MRKT VALUE TO BOOK,CN:HYS(MTBV),CH,3.43,5.63,2.87,3.76,3.68,3.54,3.02,3.26,3.34,3.9,3.98,2.97,2.37,3.68,2.5,2.52,2.68,2.77,4.4,5.65,3.69,2.68,5.78,3.54,6.95,5.98,1.81,1.45,1.08,1.06,1.17,1.22,1.15,1.35,1.74,1.61,1.64,1.76,1.7,2.04,3.15,3.71,3.52,3.82,3.24,5.42,7.8,7.72,1.46,0.49,-3,-3,-3,-2.35,-12.74,-12.74,-12.74,-12.74,12.01,10.8,7.61,5.15,14.38
